order_id,order_date,customer_id,seller_id,order_status
1,2023-10-17,560,29,Cancelled
2,2022-04-25,745,16,Pending
3,2022-01-26,100,46,Completed
4,2022-10-09,1083,40,Completed
5,2022-09-08,508,8,Cancelled
6,2022-08-17,258,34,Returned
7,2022-05-23,413,6,Pending
8,2022-04-15,1089,45,Returned
9,2023-11-24,595,45,Returned
10,2023-07-13,266,53,Completed
11,2022-03-31,821,30,Returned
12,2023-08-28,1103,44,Pending
13,2023-03-09,662,34,Cancelled
14,2022-02-02,947,21,Pending
15,2022-01-31,560,52,Pending
16,2022-04-06,917,12,Pending
17,2022-08-12,891,49,Pending
18,2022-08-27,868,6,Returned
19,2023-06-02,610,39,Completed
20,2023-09-09,414,6,Cancelled
21,2022-01-28,25,53,Completed
22,2023-07-29,284,4,Returned
23,2022-07-23,881,53,Completed
24,2023-10-28,301,9,Completed
25,2023-12-20,1092,5,Returned
26,2023-07-13,1031,10,Completed
27,2023-03-06,817,47,Cancelled
28,2022-08-14,83,8,Returned
29,2023-04-05,1097,23,Cancelled
30,2023-08-27,46,4,Completed
31,2022-10-12,618,37,Pending
32,2022-01-07,928,7,Pending
33,2022-06-13,262,6,Returned
34,2023-12-16,176,45,Pending
35,2023-03-09,657,51,Pending
36,2022-12-15,842,42,Pending
37,2022-10-12,370,15,Returned
38,2022-06-09,54,35,Cancelled
39,2022-08-09,690,50,Pending
40,2022-12-11,367,32,Returned
41,2022-04-15,644,14,Cancelled
42,2022-04-05,379,35,Returned
43,2023-01-25,73,11,Pending
44,2022-04-10,915,10,Pending
45,2023-01-03,860,17,Completed
46,2022-12-19,43,13,Completed
47,2023-09-11,377,34,Completed
48,2022-09-28,1065,45,Cancelled
49,2022-02-14,170,51,Returned
50,2023-04-16,212,5,Cancelled
51,2023-07-04,39,48,Completed
52,2022-05-08,369,10,Completed
53,2023-01-23,757,32,Pending
54,2022-03-22,151,12,Cancelled
55,2023-07-20,1071,52,Pending
56,2022-10-28,1024,13,Pending
57,2023-10-06,737,21,Returned
58,2023-09-26,69,48,Completed
59,2023-01-06,299,54,Pending
60,2023-08-15,944,53,Pending
61,2022-07-16,802,33,Completed
62,2023-12-23,296,54,Completed
63,2022-03-13,203,41,Returned
64,2022-02-16,61,48,Returned
65,2023-11-09,946,51,Pending
66,2022-08-22,963,47,Pending
67,2022-10-24,331,50,Pending
68,2022-03-23,338,54,Cancelled
69,2022-08-27,639,32,Returned
70,2022-04-14,275,12,Pending
71,2023-01-25,319,46,Completed
72,2022-10-12,589,35,Returned
73,2023-04-10,504,36,Returned
74,2023-10-13,387,38,Pending
75,2023-01-09,870,48,Cancelled
76,2022-06-16,833,28,Pending
77,2023-01-15,1015,13,Cancelled
78,2022-12-30,603,12,Cancelled
79,2022-08-03,691,22,Completed
80,2023-11-18,494,44,Pending
81,2022-10-01,490,2,Cancelled
82,2023-12-20,721,29,Returned
83,2023-12-01,1097,13,Pending
84,2023-10-26,509,35,Cancelled
85,2022-03-15,390,13,Returned
86,2023-09-16,295,34,Completed
87,2023-10-13,796,19,Completed
88,2022-06-25,865,9,Pending
89,2023-07-01,549,52,Pending
90,2022-09-08,649,31,Pending
91,2022-06-17,568,33,Pending
92,2023-04-19,853,27,Pending
93,2023-01-24,770,45,Cancelled
94,2022-10-04,445,2,Returned
95,2023-10-18,363,15,Pending
96,2023-12-06,123,19,Returned
97,2023-07-25,742,31,Cancelled
98,2022-08-13,680,16,Cancelled
99,2023-12-03,420,43,Cancelled
100,2022-11-29,92,15,Pending
101,2022-02-27,63,6,Completed
102,2022-08-23,512,14,Completed
103,2022-02-02,772,27,Pending
104,2022-11-20,256,38,Pending
105,2023-02-15,135,19,Pending
106,2022-10-02,875,37,Cancelled
107,2022-03-09,822,43,Completed
108,2022-08-05,88,4,Completed
109,2023-08-04,988,26,Returned
110,2022-11-19,823,9,Returned
111,2022-08-06,1027,41,Completed
112,2023-11-03,974,49,Completed
113,2023-05-27,934,40,Cancelled
114,2023-02-10,121,15,Returned
115,2023-10-21,1062,41,Pending
116,2023-04-15,1008,37,Cancelled
117,2022-05-27,925,4,Returned
118,2022-09-29,645,26,Pending
119,2022-05-23,714,52,Pending
120,2022-09-10,860,18,Completed
121,2023-07-29,21,41,Completed
122,2023-07-06,242,53,Pending
123,2022-09-27,455,35,Pending
124,2023-08-22,963,54,Completed
125,2023-03-15,621,41,Completed
126,2023-08-21,303,41,Completed
127,2023-02-13,803,29,Completed
128,2023-01-06,964,53,Returned
129,2022-08-13,69,24,Completed
130,2022-05-22,196,4,Cancelled
131,2023-06-06,140,21,Cancelled
132,2023-05-21,283,39,Cancelled
133,2022-04-04,312,7,Completed
134,2022-02-18,746,23,Pending
135,2022-04-23,277,40,Pending
136,2022-06-06,61,21,Returned
137,2023-10-05,52,1,Completed
138,2022-06-13,153,41,Cancelled
139,2023-11-28,544,25,Pending
140,2023-03-09,567,31,Completed
141,2023-09-03,622,55,Cancelled
142,2022-03-07,314,44,Cancelled
143,2023-01-30,807,38,Cancelled
144,2023-01-26,848,45,Cancelled
145,2023-09-03,97,5,Cancelled
146,2023-04-25,881,53,Returned
147,2023-06-26,829,31,Cancelled
148,2022-09-15,137,51,Returned
149,2023-07-21,1030,1,Cancelled
150,2022-01-12,1011,54,Cancelled
151,2023-11-28,109,30,Cancelled
152,2022-04-28,547,18,Cancelled
153,2023-11-30,1063,8,Returned
154,2023-07-04,662,26,Completed
155,2022-10-01,425,40,Pending
156,2023-10-19,630,15,Returned
157,2022-12-15,261,19,Returned
158,2022-04-25,87,10,Returned
159,2022-10-28,465,24,Completed
160,2023-03-22,76,16,Pending
161,2022-06-11,471,43,Completed
162,2023-04-10,414,31,Pending
163,2022-01-04,825,44,Pending
164,2022-09-27,895,16,Pending
165,2023-05-28,726,16,Completed
166,2022-07-02,457,28,Pending
167,2023-06-04,653,20,Cancelled
168,2022-04-19,672,35,Returned
169,2023-10-03,495,9,Pending
170,2022-11-02,1069,40,Returned
171,2023-10-17,597,10,Completed
172,2023-06-04,450,45,Completed
173,2023-09-16,485,18,Cancelled
174,2022-07-23,646,45,Pending
175,2022-06-06,620,45,Returned
176,2023-01-18,1042,15,Returned
177,2022-06-15,662,45,Returned
178,2023-07-07,758,30,Completed
179,2023-06-28,289,48,Pending
180,2022-01-01,721,32,Cancelled
181,2023-09-06,638,40,Cancelled
182,2022-11-28,235,27,Completed
183,2023-05-16,416,27,Pending
184,2022-01-20,938,19,Cancelled
185,2022-04-25,499,10,Cancelled
186,2023-01-07,974,44,Completed
187,2022-11-11,634,46,Returned
188,2022-09-03,1020,6,Cancelled
189,2022-03-01,115,53,Completed
190,2022-09-04,932,24,Cancelled
191,2023-08-04,674,9,Cancelled
192,2022-03-22,1035,27,Completed
193,2022-03-29,206,7,Completed
194,2023-05-13,247,6,Pending
195,2022-03-12,758,54,Cancelled
196,2023-06-30,147,33,Returned
197,2022-05-09,118,21,Returned
198,2022-05-12,412,46,Pending
199,2023-11-07,363,38,Pending
200,2023-05-02,137,44,Completed
201,2023-07-17,958,17,Returned
202,2022-06-19,19,31,Cancelled
203,2022-09-29,195,37,Completed
204,2023-06-25,330,11,Cancelled
205,2023-09-14,175,28,Returned
206,2023-03-10,1002,5,Completed
207,2022-08-05,449,12,Cancelled
208,2023-07-07,946,3,Pending
209,2023-12-08,141,41,Cancelled
210,2022-07-25,758,38,Cancelled
211,2022-11-16,930,54,Completed
212,2023-02-13,93,2,Returned
213,2023-11-19,239,26,Cancelled
214,2023-10-28,205,2,Cancelled
215,2023-01-18,560,54,Cancelled
216,2023-03-25,245,12,Cancelled
217,2023-06-14,832,40,Pending
