shipping_id,order_id,shipping_date,return_date,shipping_provider,delivery_status
1,1,2023-04-25,,FedEx,Delivered
2,2,2023-05-24,2023-12-19,DHL,In Transit
3,3,2023-07-15,,FedEx,In Transit
4,4,2023-08-12,,FedEx,Returned
5,5,2022-12-21,,USPS,Returned
6,6,2023-01-22,,FedEx,Returned
7,7,2022-05-06,,FedEx,In Transit
8,8,2022-07-15,,FedEx,Returned
9,9,2022-08-13,,UPS,Delivered
10,10,2023-04-05,,DHL,Returned
11,11,2022-03-19,,DHL,In Transit
12,12,2023-11-16,,UPS,Delivered
13,13,2023-07-14,,USPS,Delivered
14,14,2022-11-01,,USPS,Returned
15,15,2022-11-12,,DHL,In Transit
16,16,2022-09-29,,DHL,In Transit
17,17,2023-08-31,,USPS,Returned
18,18,2022-02-21,,FedEx,In Transit
19,19,2022-06-23,,DHL,Returned
20,20,2023-08-17,,FedEx,In Transit
21,21,2022-11-28,,DHL,Delivered
22,22,2022-02-19,,UPS,Returned
23,23,2022-05-26,,DHL,In Transit
24,24,2023-02-11,,UPS,In Transit
25,25,2022-10-30,,FedEx,Returned
26,26,2023-06-08,,USPS,Delivered
27,27,2022-02-15,,FedEx,In Transit
28,28,2022-04-08,,FedEx,Returned
29,29,2023-03-19,,FedEx,Delivered
30,30,2022-10-11,,UPS,In Transit
31,31,2022-10-20,,DHL,In Transit
32,32,2022-02-25,,USPS,In Transit
33,33,2022-09-01,2023-05-12,FedEx,Returned
34,34,2023-04-09,,FedEx,Returned
35,35,2022-07-30,2023-06-27,FedEx,Returned
36,36,2023-12-01,,UPS,Delivered
37,37,2022-09-15,,UPS,In Transit
38,38,2022-04-16,,UPS,In Transit
39,39,2023-02-13,,DHL,Delivered
40,40,2023-04-28,,DHL,Delivered
41,41,2023-07-03,,FedEx,Returned
42,42,2022-04-22,,USPS,In Transit
43,43,2022-05-27,,UPS,Delivered
44,44,2023-04-21,,DHL,Delivered
45,45,2023-05-28,,DHL,Delivered
46,46,2023-11-16,,USPS,Returned
47,47,2023-06-11,2023-09-08,UPS,Returned
48,48,2022-06-25,,DHL,In Transit
49,49,2022-07-12,,USPS,Returned
50,50,2022-03-19,,USPS,In Transit
51,51,2022-01-16,2023-02-08,UPS,Returned
52,52,2022-06-16,2023-11-09,UPS,Returned
53,53,2023-10-18,,UPS,Returned
54,54,2022-04-06,,FedEx,Delivered
55,55,2023-05-20,,DHL,Returned
56,56,2023-08-28,,USPS,In Transit
57,57,2023-07-05,,FedEx,Returned
58,58,2022-07-07,,UPS,Delivered
59,59,2022-04-16,,DHL,Delivered
60,60,2023-10-07,,DHL,In Transit
61,61,2022-07-19,,FedEx,In Transit
62,62,2022-09-26,2023-10-27,USPS,Delivered
63,63,2023-06-17,,FedEx,Returned
64,64,2023-03-07,2024-01-07,DHL,In Transit
65,65,2022-06-26,,USPS,In Transit
66,66,2023-08-11,,FedEx,Returned
67,67,2023-07-15,,FedEx,Returned
68,68,2022-12-16,,UPS,Returned
69,69,2023-05-20,,DHL,Delivered
70,70,2023-12-06,,UPS,Delivered
71,71,2023-09-15,,UPS,Returned
72,72,2023-03-26,,USPS,In Transit
73,73,2022-08-29,2023-11-18,USPS,In Transit
74,74,2023-03-14,,DHL,Delivered
75,75,2022-08-27,,USPS,Delivered
76,76,2023-07-08,,DHL,In Transit
77,77,2022-09-07,2023-09-04,USPS,Delivered
78,78,2022-04-29,,UPS,Delivered
79,79,2023-06-13,,DHL,In Transit
80,80,2022-07-02,2023-08-21,UPS,Returned
81,81,2023-07-12,,USPS,In Transit
82,82,2023-11-30,,UPS,Delivered
83,83,2022-11-24,,USPS,Returned
84,84,2023-02-24,,FedEx,Returned
85,85,2022-01-31,,UPS,In Transit
86,86,2022-12-14,,DHL,Returned
87,87,2022-08-24,,UPS,Returned
88,88,2023-08-11,,UPS,In Transit
89,89,2023-04-07,2023-04-03,DHL,Returned
90,90,2022-01-25,,DHL,Returned
91,91,2023-05-21,,FedEx,In Transit
92,92,2023-12-22,,USPS,In Transit
93,93,2023-08-27,,USPS,Delivered
94,94,2023-07-13,,DHL,Delivered
95,95,2023-10-15,,UPS,In Transit
96,96,2023-03-16,,USPS,Delivered
97,97,2023-02-18,,DHL,In Transit
98,98,2023-11-30,,DHL,Delivered
99,99,2022-05-03,,FedEx,Delivered
100,100,2023-04-11,,UPS,Returned
101,101,2023-05-06,,FedEx,Delivered
102,102,2023-12-19,,FedEx,Returned
103,103,2022-03-05,,UPS,Delivered
104,104,2023-02-18,,DHL,Returned
105,105,2023-05-25,,UPS,Delivered
106,106,2022-08-31,,FedEx,Delivered
107,107,2023-02-20,,FedEx,Returned
108,108,2023-06-16,,UPS,Returned
109,109,2022-06-01,,FedEx,In Transit
110,110,2022-01-17,,DHL,In Transit
111,111,2023-01-10,,DHL,Returned
112,112,2022-01-04,,UPS,Delivered
113,113,2023-01-22,,UPS,In Transit
114,114,2023-07-09,,DHL,In Transit
115,115,2022-05-29,,USPS,In Transit
116,116,2022-03-29,,USPS,In Transit
117,117,2023-11-07,,USPS,In Transit
118,118,2022-06-26,,UPS,Returned
119,119,2022-07-05,,DHL,In Transit
120,120,2022-08-19,,DHL,Returned
121,121,2023-10-08,,DHL,Returned
122,122,2022-12-25,,DHL,Delivered
123,123,2022-12-03,,UPS,In Transit
124,124,2023-11-23,,DHL,In Transit
125,125,2022-06-14,,DHL,Delivered
126,126,2022-03-31,,FedEx,In Transit
127,127,2023-02-08,,FedEx,In Transit
128,128,2023-11-28,,FedEx,Returned
129,129,2023-11-08,,FedEx,Returned
130,130,2023-01-11,,UPS,Delivered
131,131,2022-01-17,,USPS,Returned
132,132,2022-12-11,2024-01-23,FedEx,In Transit
133,133,2023-07-08,,FedEx,In Transit
134,134,2023-04-05,,FedEx,Delivered
135,135,2022-04-19,,UPS,In Transit
136,136,2023-12-06,,USPS,Delivered
137,137,2022-09-30,,DHL,In Transit
138,138,2023-02-20,,FedEx,Delivered
139,139,2023-08-08,,USPS,In Transit
140,140,2022-06-04,,DHL,In Transit
141,141,2022-03-17,,FedEx,In Transit
142,142,2023-06-21,,UPS,In Transit
143,143,2023-10-30,,UPS,In Transit
144,144,2022-06-29,,UPS,Delivered
145,145,2022-03-17,,DHL,Delivered
146,146,2023-08-09,,UPS,Returned
147,147,2022-05-24,,USPS,Delivered
148,148,2022-12-03,,DHL,In Transit
149,149,2023-08-06,,UPS,Delivered
150,150,2023-02-13,,USPS,In Transit
151,151,2023-04-14,,USPS,In Transit
152,152,2023-09-02,,FedEx,Returned
153,153,2022-02-11,,FedEx,Delivered
154,154,2023-07-26,,USPS,Delivered
155,155,2023-08-29,,FedEx,In Transit
156,156,2023-07-03,,FedEx,Delivered
157,157,2023-12-01,,DHL,Delivered
158,158,2022-10-03,,UPS,Delivered
159,159,2022-08-30,,DHL,In Transit
160,160,2023-03-18,,DHL,Delivered
161,161,2023-10-02,,FedEx,In Transit
162,162,2023-09-17,,UPS,In Transit
163,163,2023-07-10,,DHL,Delivered
164,164,2022-10-24,,DHL,Returned
165,165,2023-07-15,,DHL,In Transit
166,166,2022-01-18,,DHL,Delivered
167,167,2022-06-13,,UPS,Returned
168,168,2022-05-11,,FedEx,In Transit
169,169,2022-02-09,2023-07-01,USPS,Returned
170,170,2022-12-06,,FedEx,Delivered
171,171,2022-02-05,,USPS,Returned
172,172,2023-09-13,,DHL,Returned
173,173,2023-12-11,,USPS,In Transit
174,174,2022-08-25,,UPS,In Transit
175,175,2023-11-11,,UPS,Delivered
176,176,2023-07-11,,DHL,In Transit
177,177,2023-03-21,,UPS,Returned
178,178,2023-09-06,,DHL,Returned
